Day,Price
1,5.7931
2,5.7956
3,5.7996
4,5.7531
5,5.8199
6,5.8358
7,5.8703
8,5.9033
9,5.934
10,5.9389
11,5.9671
12,5.9679
13,5.9709
14,6.0023
15,6.1586
16,6.1718
17,6.2138
18,6.1239
19,6.0936
20,6.0547
21,6.0638
22,6.0107
23,6.0572
24,6.0509
25,6.0534
26,6.0872
27,6.1362
28,6.0766
29,6.0569
30,6.0501
31,6.0261
32,5.9342
33,5.8718
34,5.8718
35,5.846
36,5.8174
37,5.7895
38,5.8101
39,5.8369
40,5.8932
41,5.881
42,5.8515
43,5.8624
44,5.7414
45,5.802
46,5.7547
47,5.8008
48,5.7734
49,5.7769
50,5.7654
51,5.6895
52,5.6772
53,5.6394
54,5.6035
55,5.6108
56,5.733
57,5.7225
58,5.7485
59,5.6767
60,5.7019
61,5.713
62,5.7031
63,5.7014
64,5.6417
65,5.6786
66,5.6886
67,5.7238
68,5.7093
69,5.6665
70,5.6373
71,5.581
72,5.5326
73,5.5916
74,5.591
75,5.566
76,5.5415
77,5.4957
78,5.4842
79,5.4907
80,5.5814
81,5.5497
82,5.5875
83,5.7149
84,5.7199
85,5.7581
86,5.7642
87,5.8133
88,5.8362
89,5.8098
90,5.8245
91,5.8149
92,5.783
93,5.6758
94,5.6848
95,5.7035
96,5.7318
97,5.7671
